date,month,weekly_users_millions,qualifier,source
2023-11-06,2023-11-01,100,about,https://techcrunch.com/2023/11/06/openais-chatgpt-now-has-100-million-weekly-active-users/
2024-08-29,2024-08-01,200,more than,https://www.axios.com/2024/08/29/openai-chatgpt-200-million-weekly-active-users
2024-10-29,2024-10-01,250,about,https://finance.yahoo.com/news/openai-cfo-says-75-revenue-175831132.html
2024-12-04,2024-12-01,300,about,https://www.cnbc.com/2024/12/04/openais-active-user-count-soars-to-300-million-people-per-week.html
2025-02-20,2025-02-01,400,more than,https://x.com/bradlightcap/status/1892579908179882057
2025-03-31,2025-03-01,500,about,https://openai.com/index/march-funding-updates/
2025-08-04,2025-08-01,700,on track for,https://techcrunch.com/2025/08/04/openai-says-chatgpt-is-on-track-to-reach-700m-weekly-users/
2025-10-06,2025-10-01,800,more than,https://techcrunch.com/2025/10/06/sam-altman-says-chatgpt-has-hit-800m-weekly-active-users/
2026-02-27,2026-02-01,900,more than,https://openai.com/index/scaling-ai-for-everyone/
2026-03-31,2026-03-01,900,more than,https://openai.com/index/accelerating-the-next-phase-ai/
2026-08-31,2026-08-01,1000,more than,https://openai.com/index/expanding-access-to-ai-with-chatgpt-ads/
