month,questions
2018-01-01,160440
2018-02-01,153055
2018-03-01,172864
2018-04-01,162382
2018-05-01,167431
2018-06-01,154531
2018-07-01,160002
2018-08-01,158393
2018-09-01,144464
2018-10-01,160385
2018-11-01,149690
2018-12-01,132168
2019-01-01,149530
2019-02-01,146317
2019-03-01,161051
2019-04-01,153469
2019-05-01,151294
2019-06-01,135841
2019-07-01,150974
2019-08-01,137078
2019-09-01,136854
2019-10-01,152599
2019-11-01,148210
2019-12-01,132497
2020-01-01,146591
2020-02-01,145015
2020-03-01,155873
2020-04-01,182833
2020-05-01,186391
2020-06-01,171836
2020-07-01,165987
2020-08-01,148261
2020-09-01,141733
2020-10-01,141752
2020-11-01,134900
2020-12-01,133867
2021-01-01,139827
2021-02-01,131627
2021-03-01,148706
2021-04-01,135825
2021-05-01,133745
2021-06-01,128926
2021-07-01,123935
2021-08-01,122044
2021-09-01,119734
2021-10-01,118814
2021-11-01,119022
2021-12-01,112078
2022-01-01,119215
2022-02-01,113746
2022-03-01,123276
2022-04-01,114002
2022-05-01,115938
2022-06-01,111220
2022-07-01,110627
2022-08-01,112636
2022-09-01,103508
2022-10-01,105798
2022-11-01,109151
2022-12-01,96194
2023-01-01,96638
2023-02-01,85580
2023-03-01,87146
2023-04-01,68388
2023-05-01,66344
2023-06-01,63527
2023-07-01,62598
2023-08-01,59953
2023-09-01,52687
2023-10-01,52341
2023-11-01,50285
2023-12-01,42289
2024-01-01,47577
2024-02-01,45936
2024-03-01,44721
2024-04-01,42370
2024-05-01,40026
2024-06-01,31938
2024-07-01,31441
2024-08-01,27786
2024-09-01,24738
2024-10-01,23167
2024-11-01,20812
2024-12-01,17924
2025-01-01,18183
2025-02-01,15506
2025-03-01,15076
2025-04-01,11393
2025-05-01,9648
2025-06-01,7752
2025-07-01,6623
2025-08-01,5022
2025-09-01,5668
2025-10-01,5331
2025-11-01,5366
2025-12-01,4195
2026-01-01,3676
2026-02-01,3125
2026-03-01,3177
2026-04-01,2545
2026-05-01,2076
2026-06-01,1731
2026-07-01,1185
2026-08-01,1125
