date,weekly_users_millions,qualifier,source
2023-11-06,100,about,https://techcrunch.com/2023/11/06/openais-chatgpt-now-has-100-million-weekly-active-users/
2024-08-29,200,more than,https://www.axios.com/2024/08/29/openai-chatgpt-200-million-weekly-active-users
2024-10-29,250,about,https://finance.yahoo.com/news/openai-cfo-says-75-revenue-175831132.html
2024-12-04,300,about,https://www.cnbc.com/2024/12/04/openais-active-user-count-soars-to-300-million-people-per-week.html
2025-02-20,400,more than,https://x.com/bradlightcap/status/1892579908179882057
2025-03-31,500,about,https://openai.com/index/march-funding-updates/
2025-08-04,700,on track for,https://techcrunch.com/2025/08/04/openai-says-chatgpt-is-on-track-to-reach-700m-weekly-users/
2025-10-06,800,more than,https://techcrunch.com/2025/10/06/sam-altman-says-chatgpt-has-hit-800m-weekly-active-users/
2026-02-27,900,more than,https://openai.com/index/scaling-ai-for-everyone/
2026-03-31,900,more than,https://openai.com/index/accelerating-the-next-phase-ai/
2026-08-31,1000,more than,https://openai.com/index/expanding-access-to-ai-with-chatgpt-ads/
